Unique user count;Component set;Product;Version
243;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
233;Component1+Component5+Component9+Component11+Component13+Component14+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
231;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
219;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
211;Component1+Component5+Component11+Component19+Component21+Component29+Component30+Component31;2049294527;11.4.0.233
193;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component25+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
193;Component1+Component5+Component11+Component15+Component21+Component29+Component30+Component31;2049294527;11.3.0.773
183;Component1+Component5+Component11+Component15+Component21+Component25+Component29+Component30+Component31;2049294527;11.4.0.233
180;Component1+Component5+Component9+Component11+Component14+Component21+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
175;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
163;Component1+Component5+Component11+Component15+Component21+Component25+Component28+Component29+Component30+Component31;2049294527;11.4.0.233
161;Component1+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
157;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component21+Component23+Component24+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
148;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component16+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
147;Component1+Component5+Component11+Component15+Component21+Component28+Component29+Component30+Component31;2049294527;21.2.16.590
136;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component16+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
134;Component1+Component11+Component21+Component29+Component30+Component31;2049294527;11.4.0.233
133;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component24+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
131;Component1+Component5+Component11+Component19+Component21+Component28+Component29+Component30+Component31;2049294527;11.4.0.233
129;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
126;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component19+Component21+Component23+Component24+Component26+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
125;Component1+Component5+Component11+Component15+Component21+Component29+Component30+Component31;2049294527;21.2.16.590
123;Component1+Component5+Component11+Component15+Component21+Component28+Component29+Component30+Component31;2049294527;11.3.0.773
122;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
121;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component19+Component21+Component23+Component24+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
113;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component25+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
113;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
109;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
106;Component1+Component5+Component11+Component15+Component21+Component25+Component29+Component30+Component31;2049294527;11.3.0.773
102;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
101;Component1+Component3+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component19+Component21+Component22+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
100;Component1+Component11+Component21+Component28+Component29+Component30+Component31;2049294527;11.4.0.233
96;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component21+Component23+Component24+Component25+Component26+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
95;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
93;Component1+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
92;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
90;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component19+Component21+Component23+Component24+Component25+Component26+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
87;Component1+Component9+Component12+Component14+Component15+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
87;Component1+Component9+Component12+Component14+Component15+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
85;Component1+Component3+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component21+Component22+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
84;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component24+Component25+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
82;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component25+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
79;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component24+Component25+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
75;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component21+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
74;Component1+Component9+Component12+Component14+Component15+Component21+Component23+Component24+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
73;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
72;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component21+Component23+Component24+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
71;Component1+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
71;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
70;Component1+Component9+Component12+Component14+Component15+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
69;Component1+Component5+Component11+Component15+Component21+Component25+Component28+Component29+Component30+Component31;2049294527;11.3.0.773
61;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
60;Component1+Component9+Component11+Component12+Component14+Component15+Component21+Component23+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
58;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component19+Component21+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
58;Component1+Component9+Component11+Component14+Component18+Component21+Component23+Component25+Component26+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
57;Component1+Component5+Component11+Component16+Component19+Component21+Component29+Component30+Component31;2049294527;11.3.0.773
56;Component1+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component24+Component28+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
53;Component1+Component5+Component9+Component11+Component14+Component15+Component21+Component23+Component24+Component25+Component26+Component28+Component29+Component30+Component31;-1753079652;11.4.0.233
52;Component1+Component9+Component11+Component12+Component14+Component15+Component19+Component21+Component23+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
52;Component24+Component28+Component30+Component31;-1753079652;11.4.0.233
50;Component1+Component11+Component15+Component21+Component29+Component30+Component31;2049294527;11.4.0.233
49;Component1+Component5+Component11+Component15+Component21+Component22+Component25+Component29+Component30+Component31;2049294527;21.2.16.590
48;Component1+Component9+Component11+Component14+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;11.4.0.233
48;Component1+Component5+Component9+Component11+Component12+Component14+Component21+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
47;Component1+Component5+Component11+Component15+Component19+Component21+Component25+Component29+Component30+Component31;2049294527;11.4.0.233
47;Component1+Component5+Component11+Component15+Component21+Component22+Component25+Component28+Component29+Component30+Component31;2049294527;21.2.16.590
45;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component16+Component19+Component21+Component23+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
44;Component1+Component5+Component11+Component15+Component19+Component21+Component29+Component30+Component31;2049294527;11.4.0.233
43;Component1+Component5+Component9+Component11+Component12+Component13+Component14+Component15+Component21+Component22+Component23+Component25+Component26+Component29+Component30+Component31+Component32;-1753079652;21.2.16.590
43;Component1+Component5+Component9+Component11+Component12+Component14+Component15+Component18+Component21+Component23+Component24+Component26+Component28+Component29+Component30+Component31+Component32;-1753079652;11.3.0.773
